question,answer
how long is a hiking trail?,4 kilometers
"what does the allusion in this text suggest?
tyler seems to have the midas touch. without any special experience or training, he launched a thriving business and then established a well-respected charity.",Tyler is successful at all that he does.
"complete the sentence so that it uses personification.
""you might think you'll always be young,"" mrs. hensley counseled, ""but time ()"".",creeps up on you
"based on this information, what is this pea plant's genotype for the stem height gene?",HH
"according to newton's third law, what other force must be happening?",The wheelchair is pushing on Darnel.
"what do these two changes have in common?
a slice of banana turning brown
grilling a hamburger",Both are chemical changes.
what is the temperature of a warm grilled cheese sandwich?,55°C
what is the volume of a bowl of soup?,11 fluid ounces
how long is a hiking trail?,5 kilometers
is a travel bag a good or a service?,a good
"what does the idiom in this text suggest?
""speak of the devil!"" whitney declared when charlie strolled into the room.",Whitney had just been speaking about Charlie.
"what do these two changes have in common?
dry ice sublimating and becoming a gas
burning a marshmallow over a campfire",Both are caused by heating.
"last year, 50,000 people lived in the city of belmont. but since then, 8,000 people have moved away. what probably happened to the overall supply of houses for sale in belmont?",The supply probably went up.
"is the following trait inherited or acquired?
elijah plays hockey.",acquired
"complete the sentence.
in this chemical reaction, carbon dioxide is a ().",reactant
"is the following trait inherited or acquired?
becky can fly an airplane.",acquired
how long is a sandbox?,2 meters
what information supports the conclusion that alec acquired this trait?,Alec learned how to knit in an after school program.
"would you find the word scoop on a dictionary page with the following guide words?
seam - sheriff",no
"what does the verbal irony in this text suggest?
""it was my good luck to have to study for a test while all my friends went to the water park,"" noah remarked.",Noah was upset about staying home.
"is this a run-on sentence?
dust particles around nine nearby stars may have been caused by long-ago collisions between melting comets and asteroids.",no
what information supports the conclusion that ryan acquired this trait?,Ryan learned how to build a fire at summer camp.
"what do these two changes have in common?
cooking a pancake
rust forming on a bicycle frame",Both are chemical changes.
"does this passage describe the weather or the climate?
it got down to 3°c in athens, greece, last night!",weather
what is the mass of an elephant?,"4,295 kilograms"
what information supports the conclusion that seth acquired this trait?,Seth learned biology by doing experiments.
"based on this information, what is chanel's phenotype for the fur length trait?",short fur
what information supports the conclusion that lee acquired this trait?,"Lee learned biology by reading, observing, and experimenting."
how long is a pen?,20 centimeters
"what kind of sentence is this?
i write for the school newspaper.",declarative
"look at the word. does it have a closed syllable or an open syllable?
me",open
what is the volume of a paper drinking cup?,185 milliliters
what information supports the conclusion that harry inherited this trait?,Harry's biological parents have wavy hair.
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, lacey, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Lacey thinks the storm will cause major flooding.
what is the volume of an eyedropper?,5 milliliters
"what is the source of the allusion in the sentence below?
polly anticipated that the free makeover her friend was promising would turn out to be a trojan horse.",Greek mythology
"what is the source of the allusion in the sentence below?
when i learned the details of lillian's faustian bargain, i was in disbelief.",literature
how long does it take to bake lasagna in the oven?,42 minutes
"is the following trait inherited or acquired?
most humans can sense many different smells.",inherited
what is the mass of a can of soup?,12 ounces
"complete the sentence.
lighting a match is a ().",chemical change
"what is the temperature of the air on a warm, sunny day?",26°C
"what kind of sentence is this?
why is your position on sales tax so different from your stance toward related issues?",interrogative
"what kind of sentence is this?
what rights do the first ten amendments to the constitution guarantee americans?",interrogative
what is the mass of a pair of boots?,5 pounds
how long is a garden snail?,50 millimeters
"based on this information, what is this rose plant's phenotype for the flower color trait?",dark yellow flowers
"complete the sentence so that it uses personification.
the stars () as we gazed up in wonder.",winked
"complete the statement.
hydrogen chloride is ().",a compound
what is the mass of an ear of corn?,16 ounces
"does this passage describe the weather or the climate?
hanson enjoys the cool evening breezes that are common on summer evenings where he lives.",climate
"what does the euphemism in this text suggest?
william is big-boned, so despite being in middle school, he often shops in the men's department.",William is overweight.
"based on this information, what is flash's phenotype for the horns trait?",not having horns
"what is the source of the allusion in the sentence below?
by the time sarah had finished explaining to mr. kramer what had happened, her friends were laughingly referring to her as scheherazade.",ancient legend
"would you find the word nature on a dictionary page with the following guide words?
neither - nuisance",no
"what is the source of the allusion in the sentence below?
red velvet cupcakes were mabel's achilles's heel when she was trying to eat more healthily.",Greek mythology
"what is the source of the allusion in the sentence below?
bobby spoke at the city council meeting, claiming the new recycling regulations were draconian.",Greek history
"what kind of sentence is this?
roger is the best cook i know!",exclamatory
"last year, there were seven men's clothing stores on main street in norwood. this year, there are only three. what probably happened to the overall supply of men's shirts in norwood?",The supply probably went down.
"according to newton's third law, what other force must be happening?",The Moon is pulling on Earth.
"would you find the word snout on a dictionary page with the following guide words?
sheep - spoil",yes
"what kind of sentence is this?
the likelihood of two people having the same set of fingerprints is incredibly low.",declarative
what information supports the conclusion that quincy acquired this trait?,Quincy's friend showed him how to ride a bicycle.
"what does the idiom in this text suggest?
in such an unfamiliar environment, dirk was a fish out of water.",Dirk felt out of place.
"what do these two changes have in common?
mixing sand and water
a sidewalk heating up in the sun",Both are only physical changes.
"what is the source of the allusion in the sentence below?
sappy love songs are kryptonite to my otherwise stoic father.",a comic
"complete the statement.
during this chemical reaction, the solution becomes ().",colder
what is the volume of a blender?,2 liters
"what is the source of the allusion in the sentence below?
when it comes to starting new businesses, kinsley seems to have a midas touch.",Greek mythology
what information supports the conclusion that sidney acquired this trait?,Sidney learned history by reading.
how long is a hiking trail?,6 kilometers
what is the volume of a bowl of soup?,8 fluid ounces
"based on the passage, what was the protestant reformation?",a movement demanding that the Catholic Church change some of its practices
how long is a basketball court?,27 meters
"according to newton's third law, what other force must be happening?",The hockey puck is pushing on the hockey stick.
"based on this information, what is sugar's phenotype for the fur texture trait?",wavy fur
"what is the source of the allusion in the sentence below?
the politician's staff decided it was time to get off the titanic, so they left the campaign and started looking for other jobs.",history
"what does the simile in this text suggest?
a simple change of scenery can be like an ice-cold lemonade on a warm summer day.",Spending time in a different place is refreshing.
what information supports the conclusion that scott acquired this trait?,Scott learned how to build a fire at summer camp.
how long does it take to go for a walk with a dog?,13 minutes
what information supports the conclusion that edwin acquired this trait?,Edwin learned to identify insects by reading many books about insects.
what is the mass of a news magazine?,9 ounces
"does this passage describe the weather or the climate?
there are usually more days with low air pressure than high air pressure where martha lives.",climate
"based on this information, what is jinx's genotype for the agouti fur gene?",aa
"based on this information, what is hari's phenotype for the coat pattern trait?",a spotted coat
"what is the source of the allusion in the sentence below?
whitney told her friends that alvin was a typical peter pan type.",literature
what information supports the conclusion that whitney acquired this trait?,Whitney learned how to build a fire at summer camp.
is a toy a good or a service?,a good
what is the mass of an elephant?,"6,090 kilograms"
"what is the source of the allusion in the sentence below?
troy's falstaffian nature makes him stand out at a party.",Shakespeare
what is the volume of a kiddie pool?,275 gallons
how long is a long-distance running race?,18 miles
"look at the word. does it have a closed syllable or an open syllable?
men",closed
"does this passage describe the weather or the climate?
caleb lives in a city that is often covered by thick stratus clouds.",climate
"based on this information, what is oliver's genotype for the agouti fur gene?",AA
"what does the verbal irony in this text suggest?
""sleeping through the rooster's crowing was no problem,"" brennan joked with a yawn.",Brennan slept poorly.
"would you find the word radio on a dictionary page with the following guide words?
rescue - road",no
"would you find the word belief on a dictionary page with the following guide words?
bind - bug",no
"is the following trait inherited or acquired?
most humans can hear many different sounds.",inherited
what is the temperature of a pot of boiling water?,100°C
"what is the source of the allusion in the sentence below?
yesterday's tennis match was a classic david and goliath story, with stanley playing against his former team captain, richard.",the Bible
"what do these two changes have in common?
a puddle freezing into ice on a cold night
shaking up salad dressing",Both are only physical changes.
"complete the sentence so that it uses personification.
the wind () dispersed the leaves that zack had spent so long raking.",carelessly
"what do these two changes have in common?
a piece of apple turning brown
bleaching clothes",Both are chemical changes.
"would you find the word period on a dictionary page with the following guide words?
pity - practice",no
"complete the sentence.
water evaporating from a lake is a ().",physical change
what information supports the conclusion that tony inherited this trait?,Tony's parents have blond hair. They passed down this trait to Tony.
"complete the sentence.
making whipped cream is a ().",physical change
what information supports the conclusion that ariana inherited this trait?,Ariana's father has brown eyes. He passed this trait down to Ariana.
why might a person have a limb amputated?,"After an accident, the limb is too badly injured to heal."
how long is a hammer?,24 centimeters
what information supports the conclusion that russell acquired this trait?,Russell learned biology by doing experiments.
what is the volume of a soda bottle cap?,10 milliliters
"based on this information, what is this pea plant's phenotype for the pod shape trait?",constricted pods
what information supports the conclusion that fred acquired this trait?,Fred learned how to build a fire at summer camp.
is a toothbrush a good or a service?,a good
"complete the sentence.
cesar chavez came from () family.",a Mexican American
how long is a bike path?,3 kilometers
"based on this information, what is madelyn's phenotype for the thomsen disease trait?",having Thomsen disease
"what is the temperature of the air on a cold, snowy day?",22°F
what is the temperature of the air on a hot day?,37°C
"is the following trait inherited or acquired?
porter has a scar on his left ankle.",acquired
"according to newton's third law, what other force must be happening?",The gas pedal is pushing on Nina's foot.
what information supports the conclusion that david acquired this trait?,David's scar was caused by an accident. He cut his arm when he fell off his bicycle.
what information supports the conclusion that elizabeth acquired this trait?,Elizabeth learned how to knit in an after school program.
is driving a taxi a good or a service?,a service
"what do these two changes have in common?
water evaporating from a lake
cooking an egg",Both are caused by heating.
"is the following trait inherited or acquired?
regan has naturally dark skin.",inherited
how long is a leather belt?,75 centimeters
"what do these two changes have in common?
butter melting on a hot day
baking a loaf of bread",Both are caused by heating.
"what do these two changes have in common?
melting glass
cooking an egg",Both are caused by heating.
how long is a leather belt?,70 centimeters
"what do these two changes have in common?
plants making food from sunlight, air, and water
rust forming on a metal gate",Both are chemical changes.
"read the following excerpt from a student essay. how can the writer best improve his or her grammar and mechanics?
self-expression is important, therefore, you should be yourself no matter what other people think. people might express their inner selves through music, art, or writing, through foods they eat, cook, and serve others, or through their home decor. i choose to express myself through my clothing and my hairstyle. when i was eight years old, my mother taught me how to sew, now i make all of my own clothes. i also dye my hair crazy colors, like green or blue. sometimes people stare at me and seem to wonder why i look the way i do. my answer is, ""i just gotta be me!""",by using semicolons correctly
what is the mass of a goat?,75 pounds
how long is a paper clip?,35 millimeters
"complete the sentence so that it uses personification.
the midday sun () the hikers.",glared at
what information supports the conclusion that keith acquired this trait?,Keith learned to identify insects by reading many books about insects.
"is the following trait inherited or acquired?
camilla plays basketball.",acquired
"what is the source of the allusion in the sentence below?
clara told her friends that farid was a typical peter pan type.",literature
"complete the sentence so that it uses personification.
the butterflies flitted from flower to flower, ().",playing hide-and-seek
what is the volume of a water balloon?,485 milliliters
"would you find the word did on a dictionary page with the following guide words?
dangle - drank",yes
"based on this information, what is arietta's genotype for the fur texture gene?",Ff
what information supports the conclusion that bonnie acquired this trait?,Bonnie learned how to make chili from a recipe book.
"what do these two changes have in common?
baking a loaf of bread
cooking a pancake",Both are chemical changes.
"based on this information, what is hermes's phenotype for the coat pattern trait?",a spotted coat
what is the mass of an elephant?,"4,115 kilograms"
why might a person have a limb amputated?,The limb cannot recover from an infection.
"would you find the word pink on a dictionary page with the following guide words?
parrot - property",yes
what information supports the conclusion that pablo acquired this trait?,Pablo's scar was caused by an accident. He cut his leg when he fell off his skateboard.
"what kind of sentence is this?
reagan considers paris the most romantic city in the world.",declarative
choose the poem that uses repetition.,"Down, down, down!
Down to the depths of the sea!
She sits at her wheel in the humming town,
Singing most joyfully."
"what is the source of the allusion in the sentence below?
diana was known among her coworkers for her spartan ways.",Greek history
"complete the sentence so that it uses personification.
the heavy door () as edna pushed it open.",protested
"complete the statement. assume that the water balloon's mass did not change.
the gravitational potential energy stored between the water balloon and earth () as the water balloon fell toward paul.",decreased
"would you find the word material on a dictionary page with the following guide words?
midst - mosquito",no
what information supports the conclusion that katy inherited this trait?,Katy's father has brown eyes. He passed this trait down to Katy.
"does this passage describe the weather or the climate?
manuel noticed that the sky was filled with cumulus clouds every day last week.",weather
"would you find the word nor on a dictionary page with the following guide words?
nap - neither",no
"complete the sentence so that it uses personification.
the washing machine () when doug ran an oversized load of laundry.",complained
"would you find the word wild on a dictionary page with the following guide words?
well - word",yes
"is the following trait inherited or acquired?
reggie has a scar on his left hand.",acquired
"what kind of sentence is this?
please take some time to think about my offer before you respond.",imperative
"would you find the word mumble on a dictionary page with the following guide words?
medicine - mid",no
"based on this information, what is roxie's phenotype for the fur color trait?",black fur
when was benjamin franklin born?,1706
"would you find the word rumble on a dictionary page with the following guide words?
remote - rob",no
"based on this information, what is this tomato plant's genotype for the fruit texture gene?",FF
"last year, there were seven men's clothing stores on main street in stafford. this year, there are only three. what probably happened to the overall supply of men's shirts in stafford?",The supply probably went down.
what information supports the conclusion that trevor acquired this trait?,Trevor's scar was caused by an accident. He cut his arm when he fell off his bicycle.
judaism (ju-dee-izm) is a religion that has existed for thousands of years. what are people who practice judaism called?,Jews
"does this passage describe the weather or the climate?
chad noticed that the sky was filled with cumulus clouds every day last week.",weather
"what does the idiom in this text suggest?
""speak of the devil!"" shelley declared when kenji strolled into the room.",Shelley had just been speaking about Kenji.
"according to the seventh amendment, who has the final say in deciding who wins a court case?",the jury
"what do these two changes have in common?
water evaporating from a puddle
dry ice sublimating and becoming a gas",Both are only physical changes.
"complete the sentence.
a flower petal turning brown is a ().",chemical change
what information supports the conclusion that joy inherited this trait?,Joy's parents have red hair. They passed down this trait to Joy.
"what is the source of the allusion in the sentence below?
a modern-day icarus, miranda launched into the first stretch of the marathon at a breakneck pace.",Greek mythology
how long is a leather belt?,25 inches
what information supports the conclusion that ava inherited this trait?,Ava's father has brown eyes. He passed this trait down to Ava.
what information supports the conclusion that michelle inherited this trait?,Michelle's parents were born with wavy hair. They passed down this trait to Michelle.
how long is a basketball court?,28 meters
"what does the verbal irony in this text suggest?
""that fits you well,"" ezra remarked after anna's cap fell over her eyes for the tenth time.",The cap was too big.
"does this passage describe the weather or the climate?
june, july, and august are usually humid in new orleans, louisiana.",climate
what is the volume of a kitchen sink?,26 liters
"what is the source of the allusion in the sentence below?
warren described the situation he was facing with his boss as a catch-22.",literature
"complete the sentence.
saliva breaking down a piece of bread is a ().",chemical change
what is the temperature of the air inside of a freezer?,15°F
"what is the source of the allusion in the sentence below?
most of the people who knew harold considered him to be an unrepentant casanova.",history
"based on this information, what is kumal's phenotype for the coat pattern trait?",a spotted coat
"what does the metaphor in this text suggest?
kiara felt a roller coaster of emotions when she heard the news.",Kiara had varied feelings.
"based on this information, what is mer's phenotype for the tail spots trait?",an unspotted tail
"is the following trait inherited or acquired?
emmy knows how to type.",acquired
"complete the sentence.
cracking open a peanut is a ().",physical change
"based on this information, what is this rose plant's genotype for the flower color gene?",FF
"is the following statement true or false?
a plant cell has a cell wall.",true
what is the mass of a vacuum cleaner?,20 pounds
"is the following statement true or false?
plant cells do not have mitochondria.",false
"complete the sentence.
burning a candle is a ().",chemical change
what information supports the conclusion that ernesto inherited this trait?,Ernesto's biological father wears contacts in his hazel eyes.
"what is the source of the allusion in the sentence below?
will's research on nineteenth-century philosophers led him down the rabbit hole.",literature
"what kind of sentence is this?
how many articles did oliver write before his publisher offered him a book contract?",interrogative
what is the mass of a small candy bar?,1 ounce
how long is a soccer field?,105 meters
"what do these two changes have in common?
burning a marshmallow over a campfire
boiling an egg",Both are caused by heating.
what information supports the conclusion that brandon inherited this trait?,Brandon's parents have blond hair. They passed down this trait to Brandon.
what can seeds look like?,"Seeds can come in many shapes, colors, and sizes."
"what is the source of the allusion in the sentence below?
mrs. mccall decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare
what is the mass of a news magazine?,10 ounces
"what do these two changes have in common?
rust forming on a bicycle frame
grilling a hamburger",Both are chemical changes.
"what do these two changes have in common?
using a large magnet to remove pieces of iron from a junkyard
sewing an apron",Both are only physical changes.
"what does the verbal irony in this text suggest?
""this is the best day of my life,"" mr. mercado mumbled after his car broke down on the way to an important job interview.",Mr. Mercado was having a bad day.
"what do these two changes have in common?
a slice of banana turning brown
chicken cooking in an oven",Both are chemical changes.
what is the volume of a test tube?,16 milliliters
is there a surplus or a shortage of stuffed elephants?,shortage
"would you find the word hickory on a dictionary page with the following guide words?
head - hurry",yes
what information supports the conclusion that santiago inherited this trait?,Santiago's biological father wears contacts in his hazel eyes.
what information supports the conclusion that cindy inherited this trait?,Cindy's biological mother often wears her straight hair in a ponytail.
"what does the verbal irony in this text suggest?
after a jog around the block, katie collapsed on the couch and declared with a wheeze, ""well, i'm ready to run a marathon.""",Katie was out of shape.
what is the volume of a water balloon?,600 milliliters
"based on this information, what is thor's genotype for the coat pattern gene?",AA
"what kind of sentence is this?
in the game today, molly hit a home run with bases loaded!",exclamatory
what information supports the conclusion that kenneth inherited this trait?,Kenneth's parents have pale skin. They passed down this trait to Kenneth.
what is the mass of a vacuum cleaner?,7 kilograms
"is the following trait inherited or acquired?
brenda plays tennis.",acquired
"last year, 50,000 people lived in the city of westford. but since then, 8,000 people have moved away. what probably happened to the overall supply of houses for sale in westford?",The supply probably went up.
"complete the sentences.
the sixth amendment talks about criminal trials. it says that all criminal trials must be speedy and public. it also says that anyone accused of a crime has the right to get help from ().",a lawyer
"would you find the word direction on a dictionary page with the following guide words?
do - duty",no
"based on this information, what is this plant's phenotype for the pod color trait?",yellow pods
"based on this information, what is this rainbow trout's phenotype for the body color trait?",a greenish-brown body
"based on this information, what is blossom's phenotype for the coat color trait?",a reddish-brown coat
how long does it take to slide down a slide?,3 seconds
what information supports the conclusion that henry acquired this trait?,Henry's sister taught him how to do tricks with a jump rope.
"the city of lexington has been one of the world's biggest makers of cough drops for many years. but last month, lexington's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"what kind of sentence is this?
in ancient greece and rome, dice were usually made from bone and ivory.",declarative
what is the mass of a passenger helicopter?,4 tons
"would you find the word album on a dictionary page with the following guide words?
ache - anxiety",yes
"what do these two changes have in common?
compost rotting
cooking a pancake",Both are chemical changes.
"complete the sentence.
in this chemical reaction, gasoline is a ().",reactant
"what kind of sentence is this?
never reveal the four-digit pin that you use to make atm transactions.",imperative
what is the volume of a kitchen sink?,13 gallons
what information supports the conclusion that caden inherited this trait?,Caden's mother has blue eyes. She passed this trait down to Caden.
"what do these two changes have in common?
carving a piece of wood
ice melting in a cup",Both are only physical changes.
"what kind of sentence is this?
evan campaigned tirelessly in support of his neighbor's bid for elective office.",declarative
is a toaster a good or a service?,a good
"is this a run-on sentence?
overcome with joy, mrs. fischer told her husband the exciting news about her promotion.",no
what is the mass of a guitar?,7 pounds
how long does it take to make a paper airplane?,60 seconds
"what do these two changes have in common?
a penny tarnishing
chicken cooking in an oven",Both are chemical changes.
"would you find the word animal on a dictionary page with the following guide words?
alas - armistice",yes
"answer the riddle.
i am green.
i need sunlight.
i grow out of the ground.
what am i?",a plant
how long is a garden snail?,25 millimeters
"would you find the word spent on a dictionary page with the following guide words?
signal - stern",yes
what is the volume of a blender?,60 fluid ounces
what information supports the conclusion that monica acquired this trait?,Monica learned history by reading.
"what do these two changes have in common?
milk going sour
roasting a marshmallow over a campfire",Both are chemical changes.
"what kind of sentence is this?
please put the chicken, fish, and vegetables on the large white platter.",imperative
"would you find the word variety on a dictionary page with the following guide words?
velvet - voyage",no
what information supports the conclusion that darren inherited this trait?,Darren's biological parents have freckles on their noses just as Darren does.
is an airplane a good or a service?,a good
"what kind of sentence is this?
what are you most thankful for?",interrogative
"based on this information, what is erin's phenotype for the huntington's disease trait?",having Huntington's disease
"what kind of sentence is this?
scarlett considers paris the most romantic city in the world.",declarative
"would you find the word slide on a dictionary page with the following guide words?
satisfy - suggest",yes
"would you find the word survey on a dictionary page with the following guide words?
shampoo - silly",no
"complete the statement. assume that matthew's mass did not change.
the gravitational potential energy stored between matthew and earth () as he rode the escalator.",increased
what is the volume of a fish bowl?,4 liters
how long is a soccer field?,115 meters
"what kind of sentence is this?
give santiago a tour of the building and then take him to mr. hutchinson's office.",imperative
"what does the euphemism in this text suggest?
mr. chen is enjoying his golden years in a luxurious beachside community just down the street from his grandchildren.",Mr. Chen is old.
"based on this information, what is nica's phenotype for the body hair trait?",a hairless body
"would you find the word big on a dictionary page with the following guide words?
beauty - booth",yes
what is the volume of a bottle of nail polish?,11 milliliters
"what kind of sentence is this?
whose responsibility is it to wake the mayor when there is an emergency?",interrogative
what is the temperature of a cold glass of water?,3°C
"what do these two changes have in common?
a piece of pizza rotting in a trashcan
burning a candle",Both are chemical changes.
"does this passage describe the weather or the climate?
edward lives in a town with hot summers and freezing cold winters.",climate
"according to newton's third law, what other force must be happening?",The metal screw is pulling on the horseshoe magnet.
"would you find the word ticket on a dictionary page with the following guide words?
too - treasure",no
"is the following trait inherited or acquired?
noah has five fingers on each hand.",inherited
"complete the sentence.
dust settling out of the air is a ().",physical change
"based on this information, what is this cucumber plant's phenotype for the fruit texture trait?",bumpy fruit
"what is the source of the allusion in the sentence below?
the makeup artist's devotion to his work has at times turned into a personal obsession with certain clients, leading some to call him a modern-day pygmalion.",Greek mythology
what information supports the conclusion that leo inherited this trait?,Leo's parents have blond hair. They passed down this trait to Leo.
what information supports the conclusion that larry acquired this trait?,Larry's friend taught him how to fly a kite.
what information supports the conclusion that kenny acquired this trait?,Kenny's scar was caused by an accident. He cut his arm when he fell off his bicycle.
what information supports the conclusion that kirk acquired this trait?,Kirk learned history by reading.
"complete the sentence.
in this chemical reaction, sulfur is a ().",reactant
"what kind of sentence is this?
do you know albert from soccer camp, or do you have another connection with him?",interrogative
"what is the source of the allusion in the sentence below?
jacob dropped out of college to travel the world, but a year later, the prodigal son returned home and re-enrolled.",the Bible
how long is a garden snail?,27 millimeters
what information supports the conclusion that bill inherited this trait?,Bill's mother has blue eyes. She passed this trait down to Bill.
"what do these two changes have in common?
water vapor condensing on a bathroom mirror
your breath becoming visible on a cold day",Both are only physical changes.
"based on this information, what is coco's phenotype for the fur length trait?",short fur
"what kind of sentence is this?
jamie usually eats oatmeal for breakfast.",declarative
"would you find the word deep on a dictionary page with the following guide words?
danger - doll",yes
"based on this information, what is rolf's phenotype for the fur color trait?",brown fur
"what is the source of the allusion in the sentence below?
owen picked up his pace on the trail as his spidey sense began to tingle.",a comic book
"what kind of sentence is this?
the audience's thunderous applause left me completely speechless!",exclamatory
what is the temperature of a hot day in the desert?,45°C
what information supports the conclusion that steve acquired this trait?,Steve learned to identify insects by reading many books about insects.
what information supports the conclusion that maureen inherited this trait?,Maureen's parents were born with wavy hair. They passed down this trait to Maureen.
is a strawberry a good or a service?,a good
"what does the euphemism in this text suggest?
will is big-boned, so despite being in middle school, he often shops in the men's department.",Will is overweight.
"is the following trait inherited or acquired?
lola has naturally blond hair.",inherited
"what is the source of the allusion in the sentence below?
before mona had even met her future husband in person, she knew about his reputation as a romeo.",literature
what is the volume of a bathtub?,375 liters
what information supports the conclusion that julia acquired this trait?,Julia learned how to knit in an after school program.
"is this a sentence fragment?
smoke from the cabin visible for miles up and down the coast.",yes
"what does the verbal irony in this text suggest?
""that fits you well,"" tamir remarked after kinsley's cap fell over her eyes for the tenth time.",The cap was too big.
how long is a hammer?,25 centimeters
what is the mass of a trumpet?,1 kilogram
"what is the source of the allusion in the sentence below?
""mary is such a pollyanna!"" fred announced with a sigh.",literature
"would you find the word excite on a dictionary page with the following guide words?
engine - essay",no
what information supports the conclusion that ryan acquired this trait?,Ryan learned how to knit in an after school program.
"is the following trait inherited or acquired?
jerry has five toes on each foot.",inherited
"does this passage describe the weather or the climate?
jeffrey lives in a town with hot summers and freezing cold winters.",climate
"does this passage describe the weather or the climate?
the atacama desert in chile is one of the driest places on earth. it has an average precipitation of only 1.5 centimeters per year.",climate
"is the following trait inherited or acquired?
jen has a scar on her left knee.",acquired
"is the following trait inherited or acquired?
ruben has a scar on his left elbow.",acquired
how long is a grain of rice?,4 millimeters
"complete the sentence.
an icicle forming on the edge of a roof is a ().",physical change
what information supports the conclusion that warren inherited this trait?,Warren's parents have blond hair. They passed down this trait to Warren.
"answer the riddle.
i am an animal.
i live with people.
you have to feed me.
what am i?",a pet
